abound abonder
abounds abonde
abundance abondance
abundant abondant
accessable accessible
accessible accessible
acclaim acclamer
acclaimed acclamé
acclamation acclamation
accolade accolade
accolades accolades
accommodative accommodatif
accomodative accommodatif
accomplish accomplir
accomplished accompli
accomplishment accomplissement
accomplishments réalisations
accurate précis
achievable réalisable
achievement réussite
achievements réalisations
achievible réalisable
acumen perspicacité
adaptable adaptable
adaptive adaptatif
adequate adéquat
adjustable Ajustable
admirable admirable
admirably admirablement
admiration admiration
admire admire
admirer admirer
admiring admiratif
admiringly admiratif
adorable adorable
adore adore
adored adoré
adorer adorer
adoring adorant
adoringly adorablement
adroit adroit
adroitly adroitement
adulate aduler
adulation adulation
adulatory adulatoire
advanced Avancée
advantage avantage
advantageous avantageux
advantageously avantageusement
adventuresome aventureux
adventurous aventureux
advocate avocat
advocated préconisé
advocates avocats
affability affabilité
affable affable
affably affablement
affectation affectation
affection affection
affectionate affectueux
affinity affinité
affirm affirmer
affirmation affirmation
affirmative affirmative
affluence affluence
affluent affluent
afford offrir
affordable abordable
afordable abordable
agile agile
agilely agilement
agility agilité
agreeable agréable
agreeableness agrément
agreeably agréablement
alluring séduisant
alluringly séduisante
altruistic altruiste
altruistically altruistiquement
amaze étonner
amazed étonné
amazement stupéfaction
amazes étonne
amazing incroyable
amazingly étonnamment
ambitious ambitieux
ambitiously ambitieusement
ameliorate améliorer
amenable convenable
amenity aménité
amiability amabilité
amiabily amiabily
amiable amiable
amicability amabilité
amicable amical
amity amitié
ample ample
amply amplement
amuse amuse
amusing amusant
amusingly amusant
angel ange
angelic angélique
apotheosis apothéose
appeal charme
appealing attirant
applaud applaudir
appreciable appréciable
appreciate apprécier
appreciated apprécié
appreciates apprécie
appreciative reconnaissant
appropriate approprié
approval approbation
approve approuver
ardent ardent
ardently ardemment
ardor ardeur
articulate articuler
aspiration aspiration
aspirations aspirations
aspire aspire
assurance assurance
assurances assurances
assure assure
assuredly assurément
assuring assurant
astonish étonner
astonished étonné
astonishing étonnant
astonishingly étonnamment
astonishment étonnement
astound étonner
astounded stupéfait
astounding étonnant
astoundingly étonnamment
astutely astucieusement
attentive attentive
attraction attraction
attractive attrayant
attractively attrayante
attune harmoniser
audible audible
audibly audible
authentic authentique
autonomous autonome
available disponible
aver ayant
avid avide
avidly avidement
award prix
awarded récompensé
awards prix
awe Ou
awed impressionné
awesome impressionnant
awesomely terriblement
awesomeness génialité
awestruck étonné
awsome impressionnant
balanced équilibré
beauteous beau
beautiful belle
